cpu_usage,ram_usage,disk_write_bytes,net_sent,net_recv,process_count,keystrokes,mouse_clicks,mouse_moves,label
6.6,82.2,4979193344,10798476,87120369,184,0,0,0,1
7.8,82.3,4979338752,10798476,87120423,183,0,0,0,1
2.0,82.7,4979375616,10798530,87120477,181,0,0,0,1
12.4,83.0,4979841024,10798572,87120581,181,0,0,0,1
1.2,82.2,4983170560,10798572,87120635,181,0,0,0,1
1.6,82.2,4985267712,10798572,87120867,181,0,0,0,1
0.0,82.2,4985267712,10798627,87121049,181,0,0,0,1
0.0,82.2,4987364864,10798627,87121163,181,0,0,0,1
0.0,82.1,4989462016,10798627,87121163,181,0,0,0,1
0.0,82.1,4992321024,10798627,87121277,181,0,0,0,1
1.5,82.1,4992321024,10798627,87122129,181,0,0,0,1
1.6,82.0,4994901504,10798789,87122569,181,0,0,0,1
0.4,82.0,4996998656,10804378,87140724,181,0,0,0,1
0.0,81.9,4999099904,10804486,87140832,181,0,0,0,1
5.6,81.9,4999235072,10804541,87140952,181,0,0,0,1
1.2,81.8,5001332224,10804541,87141386,181,0,0,0,1
0.0,81.8,5002297344,10804783,87141672,181,0,0,0,1
0.0,81.5,5002297344,10804892,87141792,181,0,0,0,1
0.0,81.5,5002297344,10805135,87141792,181,0,0,0,1
0.4,81.5,5003288064,10805135,87141852,181,0,0,0,1
0.8,81.5,5003469824,10805190,87141980,181,0,0,0,1
0.0,81.5,5003586048,10805916,87142642,181,0,0,0,1
0.0,81.4,5003586048,10806078,87142980,180,0,0,0,1
0.0,81.4,5003663360,10806078,87142980,180,0,0,0,1
1.2,81.4,5003763200,10806078,87143040,180,0,0,0,1
0.4,81.4,5003822080,10806294,87143496,180,0,0,0,1
0.0,81.4,5003822080,10806402,87143550,180,0,0,0,1
0.4,81.4,5003889152,10806402,87143612,180,0,0,0,1
4.8,80.4,5004104192,10806402,87143666,178,0,0,0,1
1.6,80.5,5004299264,10806402,87143720,178,0,0,0,1
0.8,80.5,5004301312,10806402,87143836,178,0,0,0,1
4.4,79.1,5004301312,10806402,87143896,176,0,0,0,1
0.4,79.1,5004674048,10806402,87143950,176,0,0,0,1
2.0,79.1,5004688384,10806402,87144308,176,0,0,0,1
0.0,79.1,5004690432,10806402,87144774,176,0,0,0,1
0.0,79.1,5004690432,10806402,87145184,176,0,0,0,1
0.8,79.1,5004692480,10806457,87145310,176,0,0,0,1
1.6,79.1,5004694528,10806457,87145608,176,0,0,0,1
0.4,79.1,5004853760,10806457,87145662,176,0,0,0,1
0.8,79.1,5004853760,10806457,87146241,176,0,0,0,1
1.2,79.1,5005011968,10806457,87146515,176,0,0,0,1
1.6,79.1,5005104640,10806457,87146515,176,0,0,0,1
0.0,79.1,5005107200,10806457,87146637,176,0,0,0,1
0.4,79.1,5005111296,10806999,87147619,176,0,0,0,1
0.4,79.1,5005113856,10806999,87147919,176,0,0,0,1
0.8,79.1,5005116416,10806999,87148087,176,0,0,0,1
3.9,79.1,5005164032,10808418,87155167,175,0,0,0,1
0.4,79.1,5005164032,10808418,87155343,175,0,0,0,1
0.0,78.9,5005318656,10808460,87155493,175,0,0,0,1
0.0,79.0,5005321728,10809159,87156459,175,0,0,0,1
0.4,79.0,5005324800,10809214,87156781,175,0,0,0,1
0.4,79.0,5005402624,10809510,87156997,175,0,0,0,1
0.0,79.0,5005405696,10809510,87157807,175,0,0,0,1
0.4,78.3,5038383104,10809510,87158159,175,0,0,0,1
0.4,78.3,5038386176,10809552,87158583,175,0,0,0,1
0.0,78.3,5038386176,10809552,87158707,175,0,0,0,1
0.4,78.3,5038389248,10809552,87159113,175,0,0,0,1
1.2,78.3,5038392320,10812707,87172587,175,0,0,0,1
1.2,78.3,5038731264,10812761,87172866,175,0,0,0,1
0.0,78.3,5038731264,10812761,87172980,175,0,0,0,1
0.4,78.3,5038734848,10812761,87173088,175,0,0,0,1
0.4,78.3,5038886400,10812924,87173262,175,0,0,0,1
0.4,78.3,5038889984,10812924,87173262,175,0,0,0,1
0.0,78.3,5038894080,10812924,87173262,175,0,0,0,1
0.8,78.3,5038918144,10812979,87173676,175,0,0,0,1
0.0,78.3,5038921728,10812979,87173730,175,0,0,0,1
0.4,78.3,5038925312,10812979,87173784,175,0,0,0,1
0.4,78.3,5039048192,10813275,87174060,175,0,0,0,1
0.4,78.3,5039051776,10813329,87174368,175,0,0,0,1
0.0,78.3,5041799680,10813329,87174430,175,0,0,0,1
0.8,78.3,5041803776,10813329,87174490,175,0,0,0,1
0.0,78.3,5041803776,10813329,87174550,175,0,0,0,1
1.9,78.3,5041922560,10813329,87174604,175,0,0,0,1
2.7,78.2,5041926656,10813329,87174658,175,0,0,0,1
1.2,78.4,5042685952,10813329,87175114,175,0,0,0,1
0.4,78.3,5042685952,10813329,87175114,174,0,0,0,1
0.4,78.3,5042731008,10813329,87175168,174,0,0,0,1
1.6,78.3,5042780160,10813329,87175168,174,0,0,0,1
0.4,78.3,5042817024,10813329,87175406,174,0,0,0,1
0.0,78.3,5042898944,10813329,87175468,174,0,0,0,1
0.8,78.3,5042903552,10813384,87175594,174,0,0,0,1
0.0,78.3,5042904064,10813384,87175716,174,0,0,0,1
0.4,78.3,5043019264,10813384,87175830,174,0,0,0,1
0.0,78.3,5043019264,10813438,87176076,174,0,0,0,1
0.0,78.3,5043019776,10813492,87176810,174,0,0,0,1
0.0,78.3,5043020288,10813492,87176864,174,0,0,0,1
0.4,78.3,5043020800,10813492,87177328,174,0,0,0,1
1.6,78.3,5043024896,10813492,87177382,174,0,0,0,1
1.2,78.3,5043140096,10813534,87177540,174,0,0,0,1
0.4,78.3,5043141120,10813534,87177540,174,0,0,0,1
2.0,78.3,5043417600,10813534,87177594,174,0,0,0,1
0.4,78.3,5043417600,10813534,87177730,174,0,0,0,1
0.0,78.2,5043537408,10813596,87177898,174,0,0,0,1
0.8,78.2,5043538432,10813650,87178074,174,0,0,0,1
0.4,78.2,5043539456,10813705,87178986,174,0,0,0,1
0.0,78.2,5043564032,10813705,87179392,174,0,0,0,1
0.8,78.2,5043565056,10813705,87179560,174,0,0,0,1
0.8,78.2,5043570176,10813705,87179560,173,0,0,0,1
0.4,78.2,5043571200,10813705,87179912,173,0,0,0,1
0.0,78.2,5043571200,10813705,87180052,173,0,0,0,1
0.4,78.2,5043572736,10813705,87180254,173,0,0,0,1
