cpu_usage,ram_usage,disk_write_bytes,net_sent,net_recv,process_count,keystrokes,mouse_clicks,mouse_moves,label
1.6,90.1,7255761920,26278607,148843959,203,0,0,0,0
0.9,90.1,7255806976,26278662,148844263,203,0,0,0,0
1.2,90.1,7258340864,26278662,148844858,203,0,0,0,0
1,90.1,7259440128,26278771,148845418,203,0,0,0,0
0.9,90.1,7259567104,26278826,148845782,203,0,0,0,0
1.5,89.9,7259681792,26278881,148846254,203,0,0,51,0
7.4,92.2,7259876864,26287285,148857200,205,0,4,291,0
2.7,91.1,7260263424,26287490,148857600,205,0,1,240,0
1.6,91.8,7260374016,26287573,148858153,205,0,1,87,0
1.4,91,7262014464,26287628,148858511,203,0,0,0,0
1.2,91,7272696320,26288327,148859077,203,0,0,0,0
1.3,91,7272754688,26288424,148860027,203,0,0,0,0
0.9,90.7,7273012224,26288478,148860399,201,0,0,0,0
0.6,90.7,7273824768,26288696,148861288,201,0,0,0,0
0.5,90.7,7273846784,26288750,148861634,201,0,0,0,0
1,90.6,7274256384,26288805,148862052,201,0,0,0,0
1.4,90.8,7274270208,26288805,148862610,202,0,1,132,0
2.8,91.5,7275588608,26290972,148863182,202,0,3,379,0
0.8,91.9,7275746816,26299381,148874515,204,1,3,370,0
1.9,91.5,7276809216,26299954,148875109,204,1,1,297,0
3.4,92.4,7277583360,26300165,148875717,204,0,3,410,0
8.6,91.6,7290541056,26300262,148875939,204,0,6,173,0
12.7,92.2,7294298112,26300522,148876525,204,0,9,243,0
1.4,92.3,7295463424,26301190,148877158,203,0,0,222,0
1,92.1,7295563776,26301190,148878223,201,0,0,0,0
0.5,92.1,7296634880,26301245,148878473,201,0,0,0,0
0.8,92,7296681984,26301328,148879158,201,0,0,0,0
0.8,91.7,7296994304,26303025,148881038,201,0,0,0,0
0.5,91.7,7297078784,26303025,148881382,201,0,0,0,0
1.2,91.7,7297174016,26303656,148882268,203,0,0,0,0
6.8,94.8,7297610240,26319437,148900955,206,0,0,0,0
8.3,93.7,7317934080,26319655,148901533,206,0,0,0,0
1,93.4,7324995584,26319655,148901877,206,0,0,0,0
1.7,93.7,7330202112,26319710,148902235,206,0,0,0,0
0.7,93.7,7330774528,26322817,148906548,206,0,0,0,0
0.5,93.7,7331224064,26324206,148908264,205,0,0,0,0
1.1,93.2,7331346944,26324544,148908960,205,0,0,0,0
2.6,93.1,7331542528,26324653,148909808,205,0,0,81,0
3.2,93.1,7331664384,26324707,148910262,205,0,0,52,0
2.8,93.1,7332423680,26324870,148910982,206,0,6,255,0
2.7,93,7332726272,26324925,148911454,205,0,6,273,0
2,92.5,7332873216,26340041,148925982,206,0,0,77,0
6.7,93.9,7333238272,26340419,148928519,205,0,0,0,0
4.4,93.7,7346824192,26340582,148929217,205,0,0,0,0
0.6,93.5,7353533440,26340665,148929716,205,0,0,0,0
1.9,93.5,7360784896,26340720,148930244,205,0,0,0,0
0.9,93.2,7361406976,26340720,148930596,205,0,0,0,0
0.7,93.2,7361800704,26341474,148932793,204,0,0,0,0
1.7,91.3,7362147328,26341516,148934016,201,0,0,0,0
0.7,91.3,7362349056,26341626,148934786,201,0,0,0,0
1.6,91.2,7362697216,26341626,148935336,201,0,6,112,0
3,91.2,7363797504,26341681,148935986,201,0,5,293,0
2.1,91.2,7364280832,26341681,148936384,201,0,1,92,0
0.9,91.3,7364506112,26349971,148946237,203,0,0,13,0
1.2,91.4,7364846080,26350181,148947904,203,0,0,0,0
0.8,91.5,7365339648,26350398,148948564,203,0,0,7,0
2,92,7365721600,26350398,148948740,206,0,0,9,0
2.2,91.7,7369199104,26350453,148949400,206,0,0,4,0
1.7,91.7,7369549312,26350508,148949742,206,0,3,228,0
4.2,92.1,7370512896,26351262,148951162,206,0,4,205,0
2.9,92.3,7370548224,26351509,148951490,204,0,2,387,0
3.4,92.5,7381815296,26351564,148952536,204,0,3,360,0
3.2,92.7,7383218176,26351618,148953458,204,0,1,352,0
4.9,91.9,7383292928,26351835,148954604,204,0,4,340,0
3.7,92.3,7395257344,26359621,148966556,205,0,2,34,0
3.9,92,7396531200,26370198,148978277,206,0,0,0,0
0.7,92,7396556800,26371840,148980475,206,0,0,0,0
0.7,92.1,7396891136,26372058,148981133,207,0,0,0,0
0.7,92.1,7397241344,26372398,148981943,205,0,0,0,0
1.1,92,7398231552,26372549,148982857,204,0,0,0,0
0.5,92,7398372352,26372758,148988884,204,0,0,0,0
0.5,91.7,7398599168,26373512,148990622,202,0,0,0,0
0.5,91.7,7398674432,26373512,148991242,202,0,0,0,0
0.6,91.7,7400175104,26373567,148991914,202,0,0,0,0
