cpu_usage,ram_usage,disk_write_bytes,net_sent,net_recv,process_count,keystrokes,mouse_clicks,mouse_moves,label
5.85257874,85.82798668,17572983009,33550085,298769677,221,0,0,0,1
7.738134638,87.4534911,6943942121,55194068,224681191,228,0,0,0,1
4.833558328,55.81264981,162480603,62205351,56650213,210,7,1,124,0
6.901105826,64.82100451,472159368,69690855,56125780,236,6,0,105,0
4.206141033,58.68796988,352037250,78217927,65568344,234,2,1,125,0
6.7,92.1,8014701056,27035190,149626943,210,0,0,0,1
4.862898187,51.67541344,256764225,58865979,78264165,223,9,0,116,0
5.636339141,91.88402396,17658389589,51838179,196681487,224,0,0,0,1
6.00847824,86.39272073,28365915627,59276212,275795780,224,0,0,0,1
4.997368471,52.52445267,430425873,63877808,78769808,234,2,2,123,0
6.218685672,90.37106542,33969493149,39093850,134752318,228,0,0,0,1
5.543180466,86.4085702,11452825429,47472679,220759090,220,0,0,0,1
3.9,92.0,7396531200,26370198,148978277,206,0,0,0,0
0.6,93.5,7353533440,26340665,148929716,205,0,0,0,0
4.585721809,56.88220534,329579946,56109579,71827838,206,2,1,135,0
7.272499782,94.4728334,5907404394,45552240,139219542,211,0,0,0,1
6.022059757,71.18469826,371878886,63393112,57272706,202,6,1,143,0
4.515081723,55.31118193,473891966,42153220,73282805,238,5,1,119,0
5.768361968,73.17809455,456153728,78251675,80663837,202,5,0,124,0
5.793016342,87.47348102,29816370546,50433535,130249365,228,0,0,0,1
6.666031869,92.04079768,35326053224,40602641,112454621,217,0,0,0,1
5.000885188,66.42576246,150729609,49646608,87596974,203,2,0,138,0
0.8,91.5,8047232000,27063259,149655180,209,0,0,0,1
5.17557812,60.74894049,241891422,58429344,66686571,212,3,0,131,0
5.117599821,60.78084674,290735551,43114260,69079335,200,6,1,120,0
2.4,88.8,7653862400,26467945,149127208,207,0,3,255,0
4.903138234,51.25607525,319549120,58435933,63046810,200,5,1,136,0
6.840201187,54.87916293,271624947,56427305,74567449,237,4,1,123,0
8.320690724,90.64841133,13242628497,55259956,206793494,222,0,0,0,1
7.782355146,86.81880084,25486261410,33851828,140753291,212,0,0,0,1
5.8,90.6,7599663616,26426659,149068359,206,0,0,0,0
6.11461303,56.92531311,189727423,62138871,76532428,234,3,1,126,0
6.170343454,70.64277379,486121089,73844968,64671932,238,6,0,132,0
4.0,89.1,7657196032,26472691,149137406,206,0,1,158,0
6.628778757,93.73890078,37950726120,39845782,111529516,218,0,0,0,1
2.6,87.5,7797135360,26519910,149224712,204,0,0,136,1
3.0,91.2,7363797504,26341681,148935986,201,0,5,293,0
4.036470314,61.62523794,263382232,40957850,83901905,221,3,0,113,0
5.286833,70.43519618,258374890,44424143,66829462,211,4,2,121,0
7.688818535,85.75863328,25696221400,50854336,121094739,211,0,0,0,1
5.061367476,59.68306295,331397003,40428611,64536157,230,3,1,123,0
7.230711654,91.65197221,10884874048,45811243,280578999,223,0,0,0,1
5.392715559,51.31913145,413387824,74385813,85757340,235,4,1,140,0
1.4,92.3,7295463424,26301190,148877158,203,0,0,222,0
4.025091046,65.34925766,450053447,60471218,88482339,200,1,2,124,0
7.760134556,94.00018642,34010265716,34423575,138924767,218,0,0,0,1
