[2025-07-02 13:14:46] Key: 3 | CPU: 0.0% | RAM: 87.2% | Disk: 59077925888 | Net: (25666232, 143239374) | Procs: 214
[2025-07-02 13:14:46] Key: Y | CPU: 1.3% | RAM: 87.0% | Disk: 59077951488 | Net: (25666232, 143239436) | Procs: 214
[2025-07-02 13:14:46] Key: l | CPU: 1.2% | RAM: 87.0% | Disk: 59077951488 | Net: (25666232, 143239496) | Procs: 214
[2025-07-02 13:14:47] Key: 2 | CPU: 0.6% | RAM: 87.0% | Disk: 59077951488 | Net: (25666232, 143239550) | Procs: 214
[2025-07-02 13:14:47] Key: i | CPU: 5.1% | RAM: 87.0% | Disk: 59077951488 | Net: (25666232, 143239550) | Procs: 214
[2025-07-02 13:14:47] Key: E | CPU: 0.0% | RAM: 87.0% | Disk: 59077981184 | Net: (25666232, 143239550) | Procs: 214
[2025-07-02 13:14:47] Key: d | CPU: 3.1% | RAM: 87.0% | Disk: 59077981184 | Net: (25666232, 143239550) | Procs: 214
[2025-07-02 13:14:48] Key: Z | CPU: 1.2% | RAM: 87.0% | Disk: 59077981184 | Net: (25666232, 143239604) | Procs: 214
[2025-07-02 13:14:48] Key: Z | CPU: 0.6% | RAM: 87.0% | Disk: 59077981184 | Net: (25666232, 143239604) | Procs: 214
[2025-07-02 13:14:48] Key: d | CPU: 3.0% | RAM: 87.0% | Disk: 59077995008 | Net: (25666232, 143239664) | Procs: 214
[2025-07-02 13:14:49] Key: o | CPU: 5.4% | RAM: 87.0% | Disk: 59077995008 | Net: (25666274, 143239760) | Procs: 214
[2025-07-02 13:14:49] Key: o | CPU: 2.5% | RAM: 87.0% | Disk: 59077995008 | Net: (25666274, 143239760) | Procs: 214
[2025-07-02 13:14:49] Key: B | CPU: 1.8% | RAM: 87.0% | Disk: 59077995008 | Net: (25666274, 143239760) | Procs: 214
[2025-07-02 13:14:50] Key: R | CPU: 2.5% | RAM: 87.1% | Disk: 59077995008 | Net: (25666274, 143239760) | Procs: 214
[2025-07-02 13:14:50] Key: v | CPU: 0.6% | RAM: 87.1% | Disk: 59077997056 | Net: (25666274, 143239822) | Procs: 214
[2025-07-02 13:14:50] Key: a | CPU: 2.5% | RAM: 87.1% | Disk: 59078132224 | Net: (25666274, 143239822) | Procs: 214
[2025-07-02 13:14:51] Key: N | CPU: 0.0% | RAM: 87.1% | Disk: 59078144512 | Net: (25666274, 143239882) | Procs: 214
[2025-07-02 13:14:51] Key: M | CPU: 1.9% | RAM: 87.1% | Disk: 59078144512 | Net: (25666274, 143239882) | Procs: 214
[2025-07-02 13:14:51] Key: t | CPU: 2.9% | RAM: 87.1% | Disk: 59078179840 | Net: (25666274, 143239882) | Procs: 214
[2025-07-02 13:14:52] Key: M | CPU: 5.0% | RAM: 87.1% | Disk: 59078179840 | Net: (25666274, 143239936) | Procs: 214
[2025-07-02 13:14:52] Key: D | CPU: 1.9% | RAM: 87.1% | Disk: 59078179840 | Net: (25666274, 143239936) | Procs: 214
[2025-07-02 13:14:52] Key: z | CPU: 0.0% | RAM: 87.1% | Disk: 59078179840 | Net: (25666274, 143239936) | Procs: 214
[2025-07-02 13:14:53] Key: f | CPU: 2.4% | RAM: 87.1% | Disk: 59078459392 | Net: (25666329, 143240062) | Procs: 214
[2025-07-02 13:14:53] Key: d | CPU: 2.5% | RAM: 87.1% | Disk: 59078459392 | Net: (25667917, 143241646) | Procs: 214
[2025-07-02 13:14:53] Key: i | CPU: 0.6% | RAM: 87.1% | Disk: 59078459392 | Net: (25667917, 143241700) | Procs: 214
[2025-07-02 13:14:54] Key: H | CPU: 3.5% | RAM: 87.1% | Disk: 59078459392 | Net: (25667917, 143241700) | Procs: 214
[2025-07-02 13:14:54] Key: N | CPU: 26.7% | RAM: 88.0% | Disk: 59078470656 | Net: (25667917, 143241700) | Procs: 214
[2025-07-02 13:14:54] Key: T | CPU: 16.9% | RAM: 89.1% | Disk: 59078470656 | Net: (25667917, 143241700) | Procs: 217
[2025-07-02 13:14:55] Key: C | CPU: 3.6% | RAM: 89.2% | Disk: 59078470656 | Net: (25667917, 143241754) | Procs: 214
[2025-07-02 13:14:55] Key: E | CPU: 1.9% | RAM: 89.2% | Disk: 59078470656 | Net: (25667917, 143241754) | Procs: 214
[2025-07-02 13:14:55] Key: Y | CPU: 2.9% | RAM: 89.2% | Disk: 59078577152 | Net: (25667917, 143241754) | Procs: 216
[2025-07-02 13:14:55] Key: L | CPU: 3.1% | RAM: 89.4% | Disk: 59081227264 | Net: (25667917, 143241816) | Procs: 217
[2025-07-02 13:14:56] Key: R | CPU: 2.5% | RAM: 89.8% | Disk: 59081227264 | Net: (25667917, 143241816) | Procs: 217
[2025-07-02 13:14:56] Key: V | CPU: 1.9% | RAM: 89.8% | Disk: 59081227264 | Net: (25667917, 143241870) | Procs: 217
[2025-07-02 13:14:56] Key: j | CPU: 3.1% | RAM: 89.8% | Disk: 59081227264 | Net: (25667917, 143241870) | Procs: 217
[2025-07-02 13:14:57] Key: m | CPU: 1.9% | RAM: 89.6% | Disk: 59083238400 | Net: (25667917, 143241870) | Procs: 217
[2025-07-02 13:14:57] Key: o | CPU: 1.8% | RAM: 89.6% | Disk: 59083238400 | Net: (25667917, 143241870) | Procs: 217
[2025-07-02 13:14:57] Key: Q | CPU: 3.5% | RAM: 89.6% | Disk: 59083238400 | Net: (25668241, 143242110) | Procs: 217
[2025-07-02 13:14:58] Key: M | CPU: 3.9% | RAM: 89.6% | Disk: 59083238400 | Net: (25668463, 143242526) | Procs: 217
[2025-07-02 13:14:58] Key: b | CPU: 2.4% | RAM: 89.5% | Disk: 59095358976 | Net: (25668550, 143242603) | Procs: 217
[2025-07-02 13:14:58] Key: S | CPU: 2.4% | RAM: 89.5% | Disk: 59095358976 | Net: (25668550, 143242663) | Procs: 217
[2025-07-02 13:14:59] Key: r | CPU: 1.3% | RAM: 89.5% | Disk: 59095358976 | Net: (25668550, 143242663) | Procs: 217
[2025-07-02 13:14:59] Key: r | CPU: 3.6% | RAM: 89.5% | Disk: 59095358976 | Net: (25668550, 143242663) | Procs: 217
[2025-07-02 13:14:59] Key: V | CPU: 3.6% | RAM: 89.5% | Disk: 59095358976 | Net: (25668550, 143242663) | Procs: 217
[2025-07-02 13:15:00] Key: z | CPU: 0.6% | RAM: 89.5% | Disk: 59102958592 | Net: (25668550, 143242663) | Procs: 217
[2025-07-02 13:15:00] Key: A | CPU: 1.8% | RAM: 89.5% | Disk: 59102958592 | Net: (25668550, 143242663) | Procs: 217
