[2025-07-03 10:34:17] Key: 0 | CPU: 0.0% | RAM: 88.1% | Disk: 7678235648 | Net: (26483866, 149159763) | Procs: 202
[2025-07-03 10:34:17] Key: a | CPU: 4.5% | RAM: 88.1% | Disk: 7678235648 | Net: (26483866, 149159763) | Procs: 202
[2025-07-03 10:34:18] Key: T | CPU: 3.2% | RAM: 88.0% | Disk: 7678645760 | Net: (26483866, 149159763) | Procs: 202
[2025-07-03 10:34:18] Key: u | CPU: 3.7% | RAM: 88.0% | Disk: 7678645760 | Net: (26483866, 149159763) | Procs: 202
[2025-07-03 10:34:18] Key: O | CPU: 3.1% | RAM: 87.1% | Disk: 7737452032 | Net: (26483866, 149159763) | Procs: 202
[2025-07-03 10:34:18] Key: j | CPU: 0.6% | RAM: 87.1% | Disk: 7737452032 | Net: (26483866, 149159823) | Procs: 202
[2025-07-03 10:34:19] Key: Q | CPU: 1.8% | RAM: 87.1% | Disk: 7737543168 | Net: (26483866, 149159823) | Procs: 202
[2025-07-03 10:34:19] Key: 7 | CPU: 0.6% | RAM: 87.1% | Disk: 7737543168 | Net: (26483866, 149159823) | Procs: 202
[2025-07-03 10:34:19] Key: m | CPU: 1.7% | RAM: 87.1% | Disk: 7737543168 | Net: (26483866, 149159877) | Procs: 202
[2025-07-03 10:34:20] Key: D | CPU: 2.5% | RAM: 87.1% | Disk: 7737543168 | Net: (26483866, 149159877) | Procs: 202
[2025-07-03 10:34:20] Key: n | CPU: 1.3% | RAM: 87.1% | Disk: 7737638912 | Net: (26483866, 149159877) | Procs: 202
[2025-07-03 10:34:20] Key: I | CPU: 1.8% | RAM: 87.1% | Disk: 7737638912 | Net: (26483866, 149159877) | Procs: 202
[2025-07-03 10:34:21] Key: W | CPU: 2.4% | RAM: 87.1% | Disk: 7737638912 | Net: (26483866, 149159991) | Procs: 202
[2025-07-03 10:34:21] Key: b | CPU: 2.0% | RAM: 87.1% | Disk: 7737638912 | Net: (26483921, 149160053) | Procs: 202
[2025-07-03 10:34:21] Key: r | CPU: 1.8% | RAM: 87.1% | Disk: 7737638912 | Net: (26483921, 149160119) | Procs: 202
[2025-07-03 10:34:22] Key: 3 | CPU: 0.0% | RAM: 87.1% | Disk: 7737919488 | Net: (26483921, 149160119) | Procs: 202
[2025-07-03 10:34:22] Key: X | CPU: 0.6% | RAM: 87.1% | Disk: 7737919488 | Net: (26483921, 149160119) | Procs: 202
[2025-07-03 10:34:22] Key: I | CPU: 0.0% | RAM: 87.1% | Disk: 7737919488 | Net: (26483921, 149160119) | Procs: 202
[2025-07-03 10:34:23] Key: i | CPU: 0.6% | RAM: 87.1% | Disk: 7737919488 | Net: (26483921, 149160119) | Procs: 202
